Economic_Activity,Number_Of_Establishments,Number_Of_Saudis,Number_Of_Male_Saudis,Number_Of_Female_Saudis,Number_Of_Nonsaudis,Number_Of_Male_Nonaudis,Number_Of_Female_Nonaudis,total_employees
تشييد المباني,497274,672849,391680,281169,4772175,4740184,31991,5445024
تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,586795,931076,479719,451357,2609517,2575656,33861,3540593
أنشطة التشييد المتخصصة,212488,420256,273750,146506,2042148,2026219,15929,2462404
أنشطة خدمات الأطعمة والمشروبات,334891,476301,253062,223239,1875823,1859945,15878,2352124
أنشطة تقديم الخدمات للمباني وتجميل المواقع,64943,400704,242363,158341,1771719,1702847,68872,2172423
تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,265069,576196,328890,247306,1475646,1458766,16880,2051842
الهندسة المدنية,22600,329808,241217,88591,1501432,1496638,4794,1831240
الصحة البشرية,21806,508340,228868,279472,736425,400105,336320,1244765
أنشطة الاستخدام,9379,62329,24332,37997,1071757,682803,388954,1134086
النقل البري و النقل عبر الأنابيب,125895,234466,161952,72514,891519,889026,2493,1125985
تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,233779,188687,124726,63961,913494,910847,2647,1102181
الأنشطة الإيجارية,275468,64985,43294,21691,790969,787288,3681,855954
غير معرف,341912,43670,24425,19245,724983,716209,8774,768653
صنع منتجات المعادن اللافلزية الأخرى,26945,129641,87811,41830,524898,523789,1109,654539
التعليم,37004,346481,133260,213221,281405,236440,44965,627886
صُنع المنتجات الغذائية,34670,128543,72135,56408,450199,446525,3674,578742
أنشطة الخدمات الشخصية الأخرى,166499,72981,25690,47291,470217,400372,69845,543198
الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,5603,405887,320120,85767,131650,110374,21276,537537
صيد الأسماك وتربية المائيات,190023,25048,13114,11934,511426,508012,3414,536474
صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),54379,109829,75824,34005,383738,382815,923,493567
أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,81865,59229,44803,14426,379712,378487,1225,438941
التخزين وأنشطة الدعم للنقل,24321,154769,115597,39172,275235,273380,1855,430004
إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,32452,13783,8525,5258,324693,323609,1084,338476
أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,28737,121971,83254,38717,213474,211282,2192,335445
صُنع المواد الكيميائية والمنتجات الكيميائية,8936,128417,105102,23315,185490,184799,691,313907
استخراج النفط الخام والغاز الطبيعي,432,266301,251923,14378,33789,31318,2471,300090
الإقامة,21661,95088,59218,35870,174380,171197,3183,269468
أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,1854,42002,23806,18196,209690,196456,13234,251692
الأنشطة العقارية,29658,92311,58115,34196,147810,143253,4557,240121
إصلاح وتركيب الآلات والمعدات,20158,67899,53665,14234,171499,170672,827,239398
صُنع الملبوسات,62005,28860,9959,18901,192735,176963,15772,221595
أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,13921,115141,69086,46055,98472,94983,3489,213613
الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,26542,81067,44541,36526,115091,110005,5086,196158
أبحاث الإعلان والسوق,23893,78861,46905,31956,104183,99533,4650,183044
صنع الأثاث,22658,28111,13783,14328,150628,150123,505,178739
أنشطة خدمات دعم التعدين,1331,114381,108219,6162,55610,55466,144,169991
صنع الفلزات القاعدية,6767,44501,33206,11295,125139,124850,289,169640
أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,6661,124683,95247,29436,40492,39272,1220,165175
توصيل الكهرباء والغاز والبخار وتكييف الهواء,2061,133290,130196,3094,25297,25243,54,158587
الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,2549,140060,106999,33061,17957,17268,689,158017
صنع منتجات المطاط واللدائن,3530,35683,21998,13685,111106,110793,313,146789
أنشطة الأمن والتحقيقات,1945,134164,121192,12972,5847,5725,122,140011
الاتصالات,4754,98837,75204,23633,34838,33993,845,133675
أنشطة العمل الاجتماعي، دون إقامة,11090,89488,36946,52542,41559,35380,6179,131047
أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,5829,64032,37405,26627,44216,41832,2384,108248
الصناعة التحويلية الأخرى,4415,27246,17521,9725,80756,79778,978,108002
صُنع المشروبات,2360,29296,18161,11135,77797,77649,148,107093
الأنشطة الرياضية وأنشطة التسلية والترفيه,11874,37971,16901,21070,63726,56507,7219,101697
صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,15743,16119,8259,7860,80578,80026,552,96697
صنع المعدات الكهربائية,3936,27081,20964,6117,68095,67938,157,95176
الأنشطة القانونية وأنشطة المحاسبة,14676,49482,30282,19200,42760,41290,1470,92242
أنشطة خدمات المعلومات,3232,54536,31753,22783,32315,31193,1122,86851
الأنشطة الأخرى للتعدين واستغلال المحاجر,4271,25067,17824,7243,60814,60711,103,85881
صناعة الآلات والمعدات غير المصنفة في موضع أخر,3416,25143,20266,4877,57868,57759,109,83011
صُنع الورق ومنتجات الورق,2579,20215,12344,7871,59472,59249,223,79687
وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,7711,35490,24524,10966,43821,43202,619,79311
أنشطة المنظمات ذات العضوية,12050,43086,26799,16287,33030,30383,2647,76116
صُنع المنسوجات,7763,14922,9549,5373,56003,55499,504,70925
صنع فحم الكوك والمنتجات النفطية المكررة,781,39251,37513,1738,25705,25602,103,64956
النقل الجوي,2213,36406,32206,4200,17146,14724,2422,53552
تجميع المياه ومعالجتها وتوصيلها,5301,19207,16201,3006,31245,31191,54,50452
الطباعة واستنساخ وسائط الأعلام المسجّلة,4468,17914,10255,7659,31108,30856,252,49022
أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,2236,10800,6048,4752,32384,32043,341,43184
الصرف الصحي,1659,5745,4084,1661,36466,36396,70,42211
الأنشطة المهنية والعلمية والتقنية الأخرى,7128,14675,8056,6619,24647,22295,2352,39322
صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,1322,7901,5485,2416,26671,26610,61,34572
تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,343,24564,15702,8862,7840,7302,538,32404
أنشطة المعالجة وخدمات إدارة النفايات الأخرى,79,5993,4564,1429,26410,25716,694,32403
صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,1220,11029,6317,4712,20959,20437,522,31988
صناعة معدات النقل الأخرى,769,16266,15402,864,11401,11377,24,27667
أنشطة النشر,2133,10354,4801,5553,16839,16343,496,27193
النقل المائي,1845,7618,5530,2088,8870,8712,158,16488
صُنع المنتجات الجلدية والمنتجات ذات الصلة,1136,1921,805,1116,10288,10265,23,12209
صنع الحواسيب والمنتجات الإلكترونية والبصرية,2096,2689,1853,836,9517,9436,81,12206
الرعاية مع الإقامة,565,7793,1208,6585,3217,1958,1259,11010
البحث والتطوير في المجال العلمي,887,6507,4840,1667,4261,4048,213,10768
تعدين ركازات الفلزات,1149,3508,3038,470,4765,4746,19,8273
الأنشطة الإبداعية والفنون وأنشطة الترفيه,1188,2617,1479,1138,5594,5375,219,8211
الأنشطة البيطرية,1336,2444,1196,1248,5673,5274,399,8117
أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,1037,929,565,364,3009,2972,37,3938
أنشطة البرمجة والإذاعة,559,1437,798,639,2396,2308,88,3833
تعدين الفحم والليغنيت,143,103,69,34,528,527,1,631
أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,145,22,15,7,274,264,10,296
الحراجة وقطع الأخشاب,58,23,9,14,129,129,0,152
الأنشطة غير المتميزة لإنتاج السلع والخدمات التي تقوم بها الأسر المعيشية الخاصة لإستعمالها الخاص,33,3,0,3,99,93,6,102
