region,Economic_Activity,Number_Of_Establishments,Number_Of_Saudis,Number_Of_Male_Saudis,Number_Of_Female_Saudis,Number_Of_Nonsaudis,Number_Of_Male_Nonaudis,Number_Of_Female_Nonaudis,total_employees
منطقة الجوف,صنع الأثاث,144,18,10,8,335,334,1,353
المنطقة الشرقية,الأنشطة البيطرية,71,92,27,65,258,246,12,350
منطقة الحدود الشمالية,أنشطة الأمن والتحقيقات,5,8,7,1,338,334,4,346
منطقة مكة المكرمة,استخراج النفط الخام والغاز الطبيعي,4,309,306,3,37,37,0,346
منطقة عسير,صيد الأسماك وتربية المائيات,76,30,23,7,315,315,0,345
منطقة القصيم,الصناعة التحويلية الأخرى,35,96,69,27,246,233,13,342
منطقة جازان,أبحاث الإعلان والسوق,126,49,25,24,291,286,5,340
منطقة عسير,صناعة الآلات والمعدات غير المصنفة في موضع أخر,21,88,64,24,251,250,1,339
منطقة حائل,الأنشطة الرياضية وأنشطة التسلية والترفيه,77,103,51,52,225,212,13,328
منطقة الجوف,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,122,26,18,8,299,297,2,325
منطقة الجوف,الأنشطة الرياضية وأنشطة التسلية والترفيه,45,40,17,23,282,217,65,322
منطقة المدينة المنورة,الأنشطة المهنية والعلمية والتقنية الأخرى,101,64,34,30,258,207,51,322
منطقة مكة المكرمة,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,6,52,37,15,269,269,0,321
منطقة القصيم,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,99,55,23,32,264,263,1,319
منطقة الباحة,صُنع المشروبات,9,87,25,62,227,226,1,314
منطقة نجران,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,101,21,7,14,290,290,0,311
منطقة عسير,الأنشطة المهنية والعلمية والتقنية الأخرى,59,111,51,60,200,171,29,311
منطقة المدينة المنورة,أنشطة خدمات دعم التعدين,6,225,196,29,85,83,2,310
منطقة الحدود الشمالية,صنع الأثاث,96,23,14,9,285,285,0,308
منطقة الجوف,الإقامة,81,80,38,42,228,226,2,308
منطقة الحدود الشمالية,الهندسة المدنية,48,39,19,20,269,268,1,308
منطقة جازان,الأنشطة القانونية وأنشطة المحاسبة,66,238,165,73,69,69,0,307
المنطقة الشرقية,البحث والتطوير في المجال العلمي,27,164,94,70,140,134,6,304
منطقة جازان,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,25,71,35,36,232,232,0,303
منطقة الحدود الشمالية,الإقامة,48,96,52,44,204,201,3,300
منطقة عسير,صُنع المنسوجات,101,30,15,15,267,262,5,297
منطقة نجران,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,20,50,29,21,245,243,2,295
منطقة تبوك,صُنع الورق ومنتجات الورق,10,79,26,53,213,213,0,292
منطقة الرياض,استخراج النفط الخام والغاز الطبيعي,24,82,52,30,209,193,16,291
منطقة الجوف,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,117,25,14,11,264,262,2,289
منطقة الباحة,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,161,40,22,18,244,244,0,284
منطقة مكة المكرمة,صُنع المنتجات الجلدية والمنتجات ذات الصلة,32,61,22,39,223,222,1,284
منطقة تبوك,أبحاث الإعلان والسوق,99,46,20,26,230,221,9,276
منطقة المدينة المنورة,الطباعة واستنساخ وسائط الأعلام المسجّلة,68,44,26,18,225,218,7,269
منطقة مكة المكرمة,أنشطة البرمجة والإذاعة,29,101,52,49,167,164,3,268
منطقة تبوك,أنشطة الاستخدام,96,55,20,35,213,173,40,268
منطقة الباحة,الهندسة المدنية,32,53,45,8,211,211,0,264
منطقة عسير,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,73,46,21,25,217,214,3,263
منطقة الباحة,الأنشطة الإيجارية,117,14,9,5,249,248,1,263
منطقة عسير,الطباعة واستنساخ وسائط الأعلام المسجّلة,39,42,23,19,220,218,2,262
منطقة الحدود الشمالية,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,100,36,24,12,225,225,0,261
منطقة نجران,الأنشطة العقارية,108,26,14,12,235,233,2,261
منطقة القصيم,الطباعة واستنساخ وسائط الأعلام المسجّلة,46,54,16,38,204,203,1,258
منطقة عسير,صنع المعدات الكهربائية,32,48,21,27,209,209,0,257
المنطقة الشرقية,الحراجة وقطع الأخشاب,28,74,27,47,178,154,24,252
منطقة الباحة,التعليم,32,121,40,81,126,89,37,247
منطقة تبوك,صنع منتجات المطاط واللدائن,18,40,22,18,204,204,0,244
منطقة الحدود الشمالية,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,92,13,9,4,231,229,2,244
منطقة حائل,صُنع المنسوجات,68,22,14,8,214,214,0,236
منطقة نجران,الأنشطة الرياضية وأنشطة التسلية والترفيه,46,72,27,45,161,152,9,233
منطقة تبوك,أنشطة المنظمات ذات العضوية,40,147,49,98,86,85,1,233
منطقة القصيم,أنشطة الأمن والتحقيقات,12,209,185,24,23,20,3,232
منطقة نجران,صُنع المواد الكيميائية والمنتجات الكيميائية,17,45,17,28,182,182,0,227
منطقة عسير,الرعاية مع الإقامة,7,172,44,128,54,23,31,226
منطقة الباحة,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,61,31,23,8,188,188,0,219
منطقة تبوك,تجميع المياه ومعالجتها وتوصيلها,83,25,12,13,191,191,0,216
منطقة جازان,صُنع المواد الكيميائية والمنتجات الكيميائية,36,33,23,10,181,177,4,214
منطقة الباحة,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,78,9,7,2,204,204,0,213
منطقة حائل,أبحاث الإعلان والسوق,79,43,19,24,168,166,2,211
منطقة نجران,تعدين ركازات الفلزات,6,39,8,31,170,170,0,209
منطقة المدينة المنورة,النقل المائي,22,98,83,15,108,106,2,206
منطقة حائل,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,13,90,67,23,112,111,1,202
منطقة تبوك,صُنع المنسوجات,79,13,5,8,189,186,3,202
منطقة الحدود الشمالية,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,59,10,5,5,188,188,0,198
منطقة عسير,أنشطة المنظمات ذات العضوية,48,125,58,67,72,70,2,197
منطقة المدينة المنورة,صيد الأسماك وتربية المائيات,43,10,2,8,186,186,0,196
منطقة الحدود الشمالية,أنشطة العمل الاجتماعي، دون إقامة,39,147,70,77,49,45,4,196
منطقة نجران,أبحاث الإعلان والسوق,62,32,12,20,164,160,4,196
منطقة الجوف,تجميع المياه ومعالجتها وتوصيلها,32,34,22,12,160,160,0,194
منطقة حائل,صنع الفلزات القاعدية,33,34,12,22,158,158,0,192
منطقة جازان,صُنع الورق ومنتجات الورق,9,56,24,32,133,133,0,189
منطقة جازان,أنشطة الاستخدام,74,23,11,12,165,163,2,188
منطقة المدينة المنورة,الصناعة التحويلية الأخرى,34,36,18,18,150,123,27,186
منطقة حائل,صيد الأسماك وتربية المائيات,58,2,1,1,183,181,2,185
منطقة المدينة المنورة,الاتصالات,38,35,22,13,148,148,0,183
منطقة الجوف,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,10,47,37,10,136,136,0,183
منطقة عسير,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,58,41,22,19,141,141,0,182
منطقة الجوف,الأنشطة العقارية,58,48,29,19,134,133,1,182
منطقة الحدود الشمالية,التخزين وأنشطة الدعم للنقل,52,17,8,9,164,160,4,181
منطقة نجران,صُنع المنسوجات,63,3,2,1,177,176,1,180
منطقة تبوك,الأنشطة القانونية وأنشطة المحاسبة,57,139,62,77,40,38,2,179
منطقة الجوف,صُنع المنسوجات,76,7,5,2,172,171,1,179
منطقة القصيم,الأنشطة المهنية والعلمية والتقنية الأخرى,50,71,41,30,106,96,10,177
منطقة الجوف,أنشطة الاستخدام,46,45,14,31,131,64,67,176
منطقة نجران,أنشطة المنظمات ذات العضوية,49,77,60,17,98,98,0,175
منطقة المدينة المنورة,صناعة معدات النقل الأخرى,10,64,57,7,106,106,0,170
منطقة الجوف,أبحاث الإعلان والسوق,68,22,10,12,142,141,1,164
منطقة تبوك,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,56,33,18,15,129,127,2,162
منطقة الحدود الشمالية,الأنشطة الرياضية وأنشطة التسلية والترفيه,50,32,12,20,128,115,13,160
منطقة حائل,الأنشطة القانونية وأنشطة المحاسبة,53,103,77,26,54,51,3,157
منطقة الجوف,الأنشطة القانونية وأنشطة المحاسبة,50,116,64,52,40,35,5,156
منطقة الحدود الشمالية,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,18,50,49,1,106,106,0,156
منطقة القصيم,الاتصالات,54,37,12,25,119,119,0,156
المنطقة الشرقية,صُنع المنتجات الجلدية والمنتجات ذات الصلة,21,27,14,13,126,126,0,153
منطقة حائل,صُنع الورق ومنتجات الورق,11,26,8,18,126,126,0,152
منطقة تبوك,صيد الأسماك وتربية المائيات,42,0,0,0,146,144,2,146
منطقة نجران,الأنشطة القانونية وأنشطة المحاسبة,47,45,31,14,100,98,2,145
منطقة تبوك,الطباعة واستنساخ وسائط الأعلام المسجّلة,27,30,12,18,115,112,3,145
منطقة الباحة,التخزين وأنشطة الدعم للنقل,40,29,16,13,116,116,0,145
منطقة تبوك,الرعاية مع الإقامة,5,116,5,111,28,17,11,144
منطقة جازان,الصرف الصحي,35,15,10,5,129,129,0,144
منطقة الحدود الشمالية,الأنشطة العقارية,47,22,16,6,120,120,0,142
منطقة مكة المكرمة,تعدين الفحم والليغنيت,17,35,13,22,106,106,0,141
منطقة الباحة,إصلاح وتركيب الآلات والمعدات,55,9,6,3,132,132,0,141
منطقة القصيم,صناعة الآلات والمعدات غير المصنفة في موضع أخر,27,22,10,12,118,117,1,140
منطقة الحدود الشمالية,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,48,23,11,12,116,115,1,139
منطقة الجوف,الأنشطة الأخرى للتعدين واستغلال المحاجر,15,28,18,10,110,110,0,138
منطقة القصيم,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,30,27,17,10,111,108,3,138
منطقة تبوك,النقل المائي,22,39,15,24,99,87,12,138
منطقة الرياض,تعدين الفحم والليغنيت,30,24,9,15,112,110,2,136
منطقة جازان,الصناعة التحويلية الأخرى,35,14,6,8,120,116,4,134
منطقة نجران,صُنع الورق ومنتجات الورق,26,13,10,3,120,119,1,133
منطقة القصيم,تعدين ركازات الفلزات,13,87,85,2,46,45,1,133
منطقة جازان,صُنع المنسوجات,43,7,4,3,125,123,2,132
منطقة الجوف,صُنع المشروبات,7,31,10,21,95,95,0,126
منطقة المدينة المنورة,أنشطة الأمن والتحقيقات,18,97,92,5,29,29,0,126
منطقة الباحة,الأنشطة العقارية,39,26,16,10,100,100,0,126
منطقة حائل,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,33,31,16,15,93,90,3,124
منطقة جازان,الأنشطة المهنية والعلمية والتقنية الأخرى,53,26,10,16,98,91,7,124
منطقة المدينة المنورة,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,39,52,24,28,71,68,3,123
منطقة جازان,صُنع المنتجات الجلدية والمنتجات ذات الصلة,48,0,0,0,121,120,1,121
منطقة عسير,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,21,28,8,20,91,86,5,119
منطقة الحدود الشمالية,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,55,6,2,4,113,113,0,119
منطقة عسير,الأنشطة البيطرية,30,29,10,19,83,82,1,112
منطقة القصيم,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,22,40,22,18,72,69,3,112
منطقة عسير,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,28,43,18,25,68,66,2,111
منطقة الرياض,أنشطة المنظمات والهيئات غير الخاضعة للولاية القضائية الوطنية,22,54,44,10,57,56,1,111
منطقة المدينة المنورة,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,15,98,88,10,13,13,0,111
منطقة الجوف,أنشطة المنظمات ذات العضوية,26,70,40,30,39,39,0,109
منطقة الجوف,صُنع الورق ومنتجات الورق,7,33,12,21,75,74,1,108
منطقة نجران,صيد الأسماك وتربية المائيات,31,3,1,2,105,105,0,108
منطقة عسير,الاتصالات,53,22,17,5,86,85,1,108
منطقة المدينة المنورة,الرعاية مع الإقامة,5,76,16,60,30,24,6,106
منطقة نجران,صناعة الآلات والمعدات غير المصنفة في موضع أخر,10,1,1,0,103,103,0,104
منطقة عسير,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,15,34,12,22,69,69,0,103
منطقة الحدود الشمالية,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,3,36,24,12,65,65,0,101
منطقة جازان,النقل المائي,18,47,29,18,54,54,0,101
منطقة حائل,الطباعة واستنساخ وسائط الأعلام المسجّلة,24,27,11,16,74,74,0,101
منطقة المدينة المنورة,أنشطة خدمات المعلومات,16,68,22,46,32,31,1,100
منطقة مكة المكرمة,الحراجة وقطع الأخشاب,21,13,9,4,87,85,2,100
منطقة تبوك,النقل الجوي,7,31,27,4,68,66,2,99
منطقة الحدود الشمالية,صُنع المنسوجات,33,9,7,2,90,90,0,99
منطقة القصيم,الحراجة وقطع الأخشاب,8,30,19,11,68,68,0,98
منطقة الرياض,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,26,29,5,24,69,68,1,98
منطقة تبوك,الأنشطة المهنية والعلمية والتقنية الأخرى,49,11,5,6,87,80,7,98
منطقة المدينة المنورة,صنع الحواسيب والمنتجات الإلكترونية والبصرية,18,31,25,6,66,66,0,97
منطقة عسير,صنع فحم الكوك والمنتجات النفطية المكررة,3,41,22,19,55,55,0,96
منطقة القصيم,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,24,31,22,9,64,64,0,95
منطقة جازان,الاتصالات,27,18,10,8,75,74,1,93
منطقة المدينة المنورة,الأنشطة البيطرية,22,26,8,18,67,61,6,93
منطقة الحدود الشمالية,تجميع المياه ومعالجتها وتوصيلها,26,9,6,3,83,83,0,92
منطقة الباحة,الأنشطة الرياضية وأنشطة التسلية والترفيه,30,30,13,17,61,57,4,91
منطقة الجوف,الطباعة واستنساخ وسائط الأعلام المسجّلة,6,31,15,16,60,56,4,91
منطقة حائل,أنشطة النشر,24,25,7,18,66,66,0,91
منطقة القصيم,الأنشطة البيطرية,31,27,17,10,62,59,3,89
منطقة الباحة,صُنع المواد الكيميائية والمنتجات الكيميائية,9,17,8,9,72,72,0,89
منطقة عسير,أنشطة النشر,17,24,12,12,64,63,1,88
منطقة جازان,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,33,25,8,17,62,59,3,87
منطقة جازان,الرعاية مع الإقامة,5,71,4,67,14,4,10,85
المنطقة الشرقية,الأنشطة الإبداعية والفنون وأنشطة الترفيه,32,33,11,22,52,47,5,85
منطقة القصيم,توصيل الكهرباء والغاز والبخار وتكييف الهواء,17,15,9,6,67,67,0,82
منطقة مكة المكرمة,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,45,12,7,5,69,67,2,81
منطقة المدينة المنورة,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,26,22,19,3,58,58,0,80
منطقة الحدود الشمالية,أبحاث الإعلان والسوق,29,12,5,7,68,68,0,80
منطقة جازان,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,27,7,2,5,73,71,2,80
منطقة جازان,صنع منتجات المطاط واللدائن,26,9,6,3,70,70,0,79
منطقة جازان,الطباعة واستنساخ وسائط الأعلام المسجّلة,19,17,10,7,61,61,0,78
منطقة عسير,الأنشطة الإبداعية والفنون وأنشطة الترفيه,15,20,7,13,57,56,1,77
منطقة المدينة المنورة,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,15,18,9,9,58,58,0,76
منطقة المدينة المنورة,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,29,17,7,10,59,53,6,76
منطقة الباحة,أبحاث الإعلان والسوق,29,18,6,12,57,57,0,75
منطقة حائل,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,20,25,6,19,48,47,1,73
منطقة تبوك,الصناعة التحويلية الأخرى,15,12,4,8,60,56,4,72
منطقة نجران,الأنشطة المهنية والعلمية والتقنية الأخرى,32,3,2,1,69,68,1,72
منطقة حائل,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,11,49,24,25,20,20,0,69
منطقة الجوف,صناعة الآلات والمعدات غير المصنفة في موضع أخر,4,16,5,11,53,53,0,69
منطقة الجوف,صُنع المواد الكيميائية والمنتجات الكيميائية,16,12,5,7,56,55,1,68
منطقة القصيم,صيد الأسماك وتربية المائيات,23,0,0,0,68,68,0,68
المنطقة الشرقية,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,23,17,8,9,51,51,0,68
منطقة الباحة,توصيل الكهرباء والغاز والبخار وتكييف الهواء,10,10,9,1,57,57,0,67
منطقة مكة المكرمة,أنشطة المنظمات والهيئات غير الخاضعة للولاية القضائية الوطنية,4,64,35,29,3,3,0,67
منطقة تبوك,صنع فحم الكوك والمنتجات النفطية المكررة,2,18,14,4,49,49,0,67
منطقة عسير,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,21,10,3,7,55,55,0,65
منطقة تبوك,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,13,12,6,6,52,52,0,64
منطقة الباحة,صُنع المنسوجات,22,7,5,2,57,57,0,64
منطقة تبوك,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,9,29,15,14,34,34,0,63
منطقة الجوف,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,22,14,10,4,48,48,0,62
منطقة المدينة المنورة,النقل الجوي,11,34,25,9,28,28,0,62
منطقة الحدود الشمالية,الأنشطة القانونية وأنشطة المحاسبة,19,42,28,14,19,19,0,61
منطقة عسير,تعدين ركازات الفلزات,29,2,1,1,58,57,1,60
منطقة نجران,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,18,9,5,4,50,49,1,59
منطقة جازان,صناعة الآلات والمعدات غير المصنفة في موضع أخر,18,8,3,5,50,49,1,58
منطقة حائل,الأنشطة المهنية والعلمية والتقنية الأخرى,28,8,3,5,50,45,5,58
منطقة عسير,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,22,3,1,2,54,54,0,57
منطقة عسير,صنع الحواسيب والمنتجات الإلكترونية والبصرية,29,3,3,0,54,54,0,57
منطقة حائل,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,21,4,2,2,52,51,1,56
منطقة جازان,صنع المعدات الكهربائية,22,1,0,1,55,55,0,56
منطقة الباحة,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,4,26,16,10,30,29,1,56
المنطقة الشرقية,أنشطة البرمجة والإذاعة,12,15,11,4,41,39,2,56
منطقة حائل,الاتصالات,22,5,0,5,51,49,2,56
منطقة نجران,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,10,0,0,0,55,54,1,55
منطقة الباحة,الطباعة واستنساخ وسائط الأعلام المسجّلة,17,8,4,4,46,46,0,54
منطقة الجوف,الحراجة وقطع الأخشاب,12,6,6,0,48,46,2,54
منطقة عسير,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,18,21,11,10,33,33,0,54
منطقة القصيم,صنع فحم الكوك والمنتجات النفطية المكررة,7,12,8,4,42,42,0,54
منطقة تبوك,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,24,9,6,3,44,44,0,53
منطقة جازان,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,23,3,3,0,50,50,0,53
منطقة نجران,أنشطة النشر,5,1,1,0,51,51,0,52
منطقة حائل,توصيل الكهرباء والغاز والبخار وتكييف الهواء,13,7,2,5,45,45,0,52
منطقة حائل,النقل الجوي,17,0,0,0,51,50,1,51
منطقة الحدود الشمالية,صُنع المشروبات,5,8,5,3,43,43,0,51
منطقة القصيم,أنشطة خدمات المعلومات,13,12,6,6,39,39,0,51
منطقة حائل,أنشطة الأمن والتحقيقات,2,51,51,0,0,0,0,51
منطقة حائل,صنع المعدات الكهربائية,13,6,2,4,44,44,0,50
منطقة تبوك,الأنشطة البيطرية,12,16,11,5,32,30,2,48
منطقة جازان,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,16,2,0,2,46,46,0,48
المنطقة الشرقية,تعدين الفحم والليغنيت,12,12,6,6,35,35,0,47
منطقة نجران,صنع المعدات الكهربائية,7,7,2,5,38,38,0,45
منطقة جازان,صنع الحواسيب والمنتجات الإلكترونية والبصرية,19,2,1,1,43,43,0,45
منطقة المدينة المنورة,استخراج النفط الخام والغاز الطبيعي,2,37,37,0,8,8,0,45
منطقة حائل,الصناعة التحويلية الأخرى,13,9,7,2,36,35,1,45
منطقة حائل,صناعة الآلات والمعدات غير المصنفة في موضع أخر,14,1,1,0,42,42,0,43
منطقة حائل,الرعاية مع الإقامة,4,38,12,26,5,4,1,43
منطقة نجران,الصناعة التحويلية الأخرى,11,10,6,4,33,31,2,43
منطقة عسير,النقل الجوي,13,7,6,1,33,33,0,40
منطقة حائل,الأنشطة الأخرى للتعدين واستغلال المحاجر,15,8,3,5,32,32,0,40
